table_id	file_name	title	submission_packet	evidence_tier	reviewer_priority	topic_group	recommended_use	manuscript_location	description	source_file	copied_file	file_size_bytes
Table S62	Table_S62_gse322785_cerebellar_multiome_file_inventory.tsv	GSE322785 cerebellar multiome file inventory	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	GEO supplementary-file inventory for GSE322785 H5 and ATAC fragment resources.	Project/results/gse322785_cerebellar_multiome_file_inventory.tsv	Project/manuscript/Supplementary tables/Table_S62_gse322785_cerebellar_multiome_file_inventory.tsv	8400
Table S63	Table_S63_gse322785_cerebellar_multiome_donor_summary.tsv	GSE322785 cerebellar multiome donor summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Donor-level summary of available GSE322785 cerebellar multiome files by species.	Project/results/gse322785_cerebellar_multiome_donor_summary.tsv	Project/manuscript/Supplementary tables/Table_S63_gse322785_cerebellar_multiome_donor_summary.tsv	891
Table S64	Table_S64_gse322785_cerebellar_multiome_download_plan.tsv	GSE322785 cerebellar multiome download plan	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Tiered download plan separating compact H5 matrices from larger deferred ATAC fragment files.	Project/results/gse322785_cerebellar_multiome_download_plan.tsv	Project/manuscript/Supplementary tables/Table_S64_gse322785_cerebellar_multiome_download_plan.tsv	13413
Table S65	Table_S65_gse322785_human_h5_feature_inventory.tsv	GSE322785 human H5 feature inventory	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Validated feature and barcode counts for downloaded human cerebellar multiome H5 files.	Project/results/gse322785_human_h5_feature_inventory.tsv	Project/manuscript/Supplementary tables/Table_S65_gse322785_human_h5_feature_inventory.tsv	485
Table S66	Table_S66_gse322785_human_h5_epigenomic_gene_summary.tsv	GSE322785 human H5 epigenomic gene summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Target-gene feature coverage and nearby ATAC peak counts in human cerebellar H5 files.	Project/results/gse322785_human_h5_epigenomic_gene_summary.tsv	Project/manuscript/Supplementary tables/Table_S66_gse322785_human_h5_epigenomic_gene_summary.tsv	101654
Table S67	Table_S67_gse322785_human_h5_epigenomic_peak_targets.tsv	GSE322785 human H5 epigenomic peak targets	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Nearby ATAC peak feature rows mapped to regulatory target genes in downloaded human cerebellar H5 files.	Project/results/gse322785_human_h5_epigenomic_peak_targets.tsv	Project/manuscript/Supplementary tables/Table_S67_gse322785_human_h5_epigenomic_peak_targets.tsv	2776762
Table S68	Table_S68_gse322785_human_h5_epigenomic_selective_manifest.tsv	GSE322785 human H5 epigenomic selective manifest	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Target gene-expression and nearby ATAC peak feature rows for selective extraction from GSE322785 human H5 matrices.	Project/results/gse322785_human_h5_epigenomic_selective_manifest.tsv	Project/manuscript/Supplementary tables/Table_S68_gse322785_human_h5_epigenomic_selective_manifest.tsv	2231264
Table S69	Table_S69_gse322785_human_h5_selected_matrix_summary.tsv	GSE322785 human H5 selected matrix summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Per-donor summary of selected RNA/ATAC matrix extraction and provisional marker-call coverage.	Project/results/gse322785_human_h5_selected_matrix_summary.tsv	Project/manuscript/Supplementary tables/Table_S69_gse322785_human_h5_selected_matrix_summary.tsv	1437
Table S70	Table_S70_gse322785_human_h5_marker_panel_coverage.tsv	GSE322785 human H5 marker panel coverage	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Marker-gene panel coverage in downloaded human cerebellar H5 feature tables.	Project/results/gse322785_human_h5_marker_panel_coverage.tsv	Project/manuscript/Supplementary tables/Table_S70_gse322785_human_h5_marker_panel_coverage.tsv	2619
Table S71	Table_S71_gse322785_human_h5_marker_celltype_summary.tsv	GSE322785 human H5 marker cell-type summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Provisional marker-call counts by donor, confidence class, and basic-QC status.	Project/results/gse322785_human_h5_marker_celltype_summary.tsv	Project/manuscript/Supplementary tables/Table_S71_gse322785_human_h5_marker_celltype_summary.tsv	2766
Table S72	Table_S72_gse322785_human_h5_marker_high_confidence_barcodes.tsv.gz	GSE322785 human H5 high-confidence marker barcodes	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Barcode-level high/medium-confidence provisional marker calls for selected downstream scoring.	Project/results/gse322785_human_h5_marker_high_confidence_barcodes.tsv.gz	Project/manuscript/Supplementary tables/Table_S72_gse322785_human_h5_marker_high_confidence_barcodes.tsv.gz	306596
Table S73	Table_S73_gse322785_human_h5_epigenomic_marker_group_feature_scores.tsv.gz	GSE322785 marker-group feature scores	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Selected target-gene and ATAC-peak feature scores by provisional marker group.	Project/results/gse322785_human_h5_epigenomic_marker_group_feature_scores.tsv.gz	Project/manuscript/Supplementary tables/Table_S73_gse322785_human_h5_epigenomic_marker_group_feature_scores.tsv.gz	2698193
Table S74	Table_S74_gse322785_human_h5_epigenomic_marker_group_module_scores.tsv	GSE322785 marker-group module scores	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Module-level selected RNA/ATAC scores by provisional marker group.	Project/results/gse322785_human_h5_epigenomic_marker_group_module_scores.tsv	Project/manuscript/Supplementary tables/Table_S74_gse322785_human_h5_epigenomic_marker_group_module_scores.tsv	938066
Table S75	Table_S75_gse322785_human_h5_epigenomic_marker_group_contrasts.tsv	GSE322785 marker-group epigenomic contrasts	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Granule-candidate versus Purkinje/glial/ambiguous-neuronal provisional marker-group contrasts.	Project/results/gse322785_human_h5_epigenomic_marker_group_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S75_gse322785_human_h5_epigenomic_marker_group_contrasts.tsv	1411824
Table S76	Table_S76_gse322785_human_h5_cluster_validation_barcode_assignments.tsv.gz	GSE322785 cluster-validation barcode assignments	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Basic-QC barcode-level selected-gene SVD/k-means cluster assignments and provisional marker calls.	Project/results/gse322785_human_h5_cluster_validation_barcode_assignments.tsv.gz	Project/manuscript/Supplementary tables/Table_S76_gse322785_human_h5_cluster_validation_barcode_assignments.tsv.gz	997237
Table S77	Table_S77_gse322785_human_h5_cluster_validation_summary.tsv	GSE322785 cluster-validation summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Donor-specific selected-gene cluster summaries with marker composition and median marker scores.	Project/results/gse322785_human_h5_cluster_validation_summary.tsv	Project/manuscript/Supplementary tables/Table_S77_gse322785_human_h5_cluster_validation_summary.tsv	8592
Table S78	Table_S78_gse322785_human_h5_cluster_validation_marker_call_enrichment.tsv	GSE322785 cluster marker-call enrichment	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Cluster-by-marker-call enrichment table for provisional GSE322785 labels.	Project/results/gse322785_human_h5_cluster_validation_marker_call_enrichment.tsv	Project/manuscript/Supplementary tables/Table_S78_gse322785_human_h5_cluster_validation_marker_call_enrichment.tsv	16036
Table S79	Table_S79_gse322785_human_h5_cluster_validation_marker_support.tsv	GSE322785 cluster marker support	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Dominant-cluster concentration summary for each provisional marker call.	Project/results/gse322785_human_h5_cluster_validation_marker_support.tsv	Project/manuscript/Supplementary tables/Table_S79_gse322785_human_h5_cluster_validation_marker_support.tsv	3129
Table S80	Table_S80_gse322785_human_h5_cluster_validation_metrics.tsv	GSE322785 cluster-validation metrics	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Per-donor adjusted Rand index and normalized mutual information between selected-gene clusters and provisional marker calls.	Project/results/gse322785_human_h5_cluster_validation_metrics.tsv	Project/manuscript/Supplementary tables/Table_S80_gse322785_human_h5_cluster_validation_metrics.tsv	482
Table S81	Table_S81_gse322785_human_h5_cluster_supported_marker_rules.tsv	GSE322785 cluster-supported marker rules	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Cluster-marker enrichment rules used to define stricter supported provisional marker groups.	Project/results/gse322785_human_h5_cluster_supported_marker_rules.tsv	Project/manuscript/Supplementary tables/Table_S81_gse322785_human_h5_cluster_supported_marker_rules.tsv	47675
Table S82	Table_S82_gse322785_human_h5_cluster_supported_marker_barcodes.tsv.gz	GSE322785 cluster-supported marker barcodes	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Barcode-level cluster-supported provisional marker calls used for stricter sensitivity scoring.	Project/results/gse322785_human_h5_cluster_supported_marker_barcodes.tsv.gz	Project/manuscript/Supplementary tables/Table_S82_gse322785_human_h5_cluster_supported_marker_barcodes.tsv.gz	168373
Table S83	Table_S83_gse322785_human_h5_cluster_supported_epigenomic_feature_scores.tsv.gz	GSE322785 cluster-supported feature scores	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Selected target-gene and ATAC-peak feature scores after restricting to cluster-supported provisional marker groups.	Project/results/gse322785_human_h5_cluster_supported_epigenomic_feature_scores.tsv.gz	Project/manuscript/Supplementary tables/Table_S83_gse322785_human_h5_cluster_supported_epigenomic_feature_scores.tsv.gz	1495193
Table S84	Table_S84_gse322785_human_h5_cluster_supported_epigenomic_module_scores.tsv	GSE322785 cluster-supported module scores	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Module-level selected RNA/ATAC scores after restricting to cluster-supported provisional marker groups.	Project/results/gse322785_human_h5_cluster_supported_epigenomic_module_scores.tsv	Project/manuscript/Supplementary tables/Table_S84_gse322785_human_h5_cluster_supported_epigenomic_module_scores.tsv	578877
Table S85	Table_S85_gse322785_human_h5_cluster_supported_epigenomic_contrasts.tsv	GSE322785 cluster-supported epigenomic contrasts	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Granule-candidate versus supported comparator contrasts after cluster-enrichment filtering.	Project/results/gse322785_human_h5_cluster_supported_epigenomic_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S85_gse322785_human_h5_cluster_supported_epigenomic_contrasts.tsv	661075
Table S86	Table_S86_gse322785_epigenomic_broad_vs_cluster_supported_contrasts.tsv	GSE322785 broad-versus-supported contrast comparison	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Concordance comparison between broad provisional and cluster-supported GSE322785 epigenomic contrasts.	Project/results/gse322785_epigenomic_broad_vs_cluster_supported_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S86_gse322785_epigenomic_broad_vs_cluster_supported_contrasts.tsv	276743
Table S87	Table_S87_gse322785_epigenomic_robust_positive_contrasts.tsv	GSE322785 robust-positive epigenomic contrasts	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Contrasts with positive granule-candidate deltas in both broad provisional and cluster-supported sensitivity layers.	Project/results/gse322785_epigenomic_robust_positive_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S87_gse322785_epigenomic_robust_positive_contrasts.tsv	95306
Table S88	Table_S88_gse322785_epigenomic_robust_contrast_summary.tsv	GSE322785 robust contrast summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Summary of robust, layer-specific, discordant, and weak GSE322785 epigenomic contrast classes.	Project/results/gse322785_epigenomic_robust_contrast_summary.tsv	Project/manuscript/Supplementary tables/Table_S88_gse322785_epigenomic_robust_contrast_summary.tsv	13955
Table S89	Table_S89_hierarchical_integrative_model_terms.tsv	Hierarchical integrative model terms	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Hierarchical integrative evidence model	Supports Supplementary Figure S5 and summarizes the term-balanced evidence synthesis.	Integrative model	Term definitions, hierarchy levels, evidence quality classes, and caveats for the hierarchical integrative granule-cell model.	Project/results/hierarchical_integrative_model_terms.tsv	Project/manuscript/Supplementary tables/Table_S89_hierarchical_integrative_model_terms.tsv	4101
Table S90	Table_S90_hierarchical_integrative_model_evidence_units.tsv	Hierarchical integrative model evidence units	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Hierarchical integrative evidence model	Supports Supplementary Figure S5 and summarizes the term-balanced evidence synthesis.	Integrative model	Evidence-unit table combining direct transcriptomic, stage/niche, epigenomic, morphology/activity, and resource-constraint layers.	Project/results/hierarchical_integrative_model_evidence_units.tsv	Project/manuscript/Supplementary tables/Table_S90_hierarchical_integrative_model_evidence_units.tsv	306483
Table S91	Table_S91_hierarchical_integrative_model_layer_summary.tsv	Hierarchical integrative model layer summary	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Hierarchical integrative evidence model	Supports Supplementary Figure S5 and summarizes the term-balanced evidence synthesis.	Integrative model	Level-by-term weighted summaries for the hierarchical integrative evidence model.	Project/results/hierarchical_integrative_model_layer_summary.tsv	Project/manuscript/Supplementary tables/Table_S91_hierarchical_integrative_model_layer_summary.tsv	1605
Table S92	Table_S92_hierarchical_integrative_model_branch_summary.tsv	Hierarchical integrative model branch summary	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Hierarchical integrative evidence model	Supports Supplementary Figure S5 and summarizes the term-balanced evidence synthesis.	Integrative model	Branch-level term summaries for dentate, cerebellar, cross-branch, and simulation evidence.	Project/results/hierarchical_integrative_model_branch_summary.tsv	Project/manuscript/Supplementary tables/Table_S92_hierarchical_integrative_model_branch_summary.tsv	985
Table S93	Table_S93_hierarchical_integrative_model_component_scores.tsv	Hierarchical integrative model component scores	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Hierarchical integrative evidence model	Supports Supplementary Figure S5 and summarizes the term-balanced evidence synthesis.	Integrative model	Component-level term-balanced scores and caveats for the hierarchical integrative model.	Project/results/hierarchical_integrative_model_component_scores.tsv	Project/manuscript/Supplementary tables/Table_S93_hierarchical_integrative_model_component_scores.tsv	2035
Table S94	Table_S94_causal_perturbation_dataset_triage.tsv	Public perturbation dataset triage	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Public perturbation audit	Retain as hypothesis-generating perturbation-resource triage and module-shift support for Supplementary Figure S6.	Causal follow-up resources	Curated public NFIA, BDNF/TrkB, TGF-beta/SMAD, SHH, RBFOX3, and HMGN2 perturbation or pathway-response datasets for causal follow-up planning.	Project/results/causal_perturbation_dataset_triage.tsv	Project/manuscript/Supplementary tables/Table_S94_causal_perturbation_dataset_triage.tsv	10275
Table S95	Table_S95_causal_perturbation_node_summary.tsv	Public perturbation node summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Public perturbation audit	Retain as hypothesis-generating perturbation-resource triage and module-shift support for Supplementary Figure S6.	Causal follow-up resources	Node-level summary of public perturbation-resource strength, recommended model role, and key caveats.	Project/results/causal_perturbation_node_summary.tsv	Project/manuscript/Supplementary tables/Table_S95_causal_perturbation_node_summary.tsv	2185
Table S96	Table_S96_causal_perturbation_processing_status.tsv	Public perturbation processing status	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Public perturbation audit	Retain as hypothesis-generating perturbation-resource triage and module-shift support for Supplementary Figure S6.	Causal follow-up resources	Processing status for downloaded perturbation datasets used in module-shift scoring.	Project/results/causal_perturbation_processing_status.tsv	Project/manuscript/Supplementary tables/Table_S96_causal_perturbation_processing_status.tsv	465
Table S97	Table_S97_causal_perturbation_module_catalog.tsv	Public perturbation module catalog	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Public perturbation audit	Retain as hypothesis-generating perturbation-resource triage and module-shift support for Supplementary Figure S6.	Causal follow-up resources	Curated fate, niche, pathway, neurite, synaptic, and excitability modules used to score perturbation module shifts.	Project/results/causal_perturbation_module_catalog.tsv	Project/manuscript/Supplementary tables/Table_S97_causal_perturbation_module_catalog.tsv	40674
Table S98	Table_S98_causal_perturbation_module_shift_gene_effects.tsv	Public perturbation gene-level module effects	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Public perturbation audit	Retain as hypothesis-generating perturbation-resource triage and module-shift support for Supplementary Figure S6.	Causal follow-up resources	Gene-level perturbation effects for module genes recovered from public RBFOX3/RBFOX1, BDNF/NTRK2, and SHH/PTCH/Norrin datasets.	Project/results/causal_perturbation_module_shift_gene_effects.tsv	Project/manuscript/Supplementary tables/Table_S98_causal_perturbation_module_shift_gene_effects.tsv	621108
Table S99	Table_S99_causal_perturbation_module_shift_summary.tsv	Public perturbation contrast-module shifts	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Public perturbation audit	Retain as hypothesis-generating perturbation-resource triage and module-shift support for Supplementary Figure S6.	Causal follow-up resources	Contrast-level module-shift summaries with module coverage, signed shift scores, context-match calls, and top shifted genes.	Project/results/causal_perturbation_module_shift_summary.tsv	Project/manuscript/Supplementary tables/Table_S99_causal_perturbation_module_shift_summary.tsv	74256
Table S100	Table_S100_causal_perturbation_module_shift_node_summary.tsv	Public perturbation node-module shifts	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Public perturbation audit	Retain as hypothesis-generating perturbation-resource triage and module-shift support for Supplementary Figure S6.	Causal follow-up resources	Node-level summaries of matched-context and off-context perturbation-sensitive modules.	Project/results/causal_perturbation_module_shift_node_summary.tsv	Project/manuscript/Supplementary tables/Table_S100_causal_perturbation_module_shift_node_summary.tsv	11210
Table S101	Table_S101_result_evidence_anchor_provenance.tsv	Result-level evidence anchor provenance	Supplementary Data archive	Provenance map	3_machine_readable_archive	Result-level evidence anchors	Maps each Results section to source analysis files and the corresponding supplementary tables.	Analysis provenance	Result-level mapping from each Results section to source analysis files and corresponding supplementary tables.	Project/manuscript/Supplementary tables/Table_S101_result_evidence_anchor_provenance.tsv	Project/manuscript/Supplementary tables/Table_S101_result_evidence_anchor_provenance.tsv	4864
Table S102	Table_S102_hypothesis_support_score_matrix.tsv	Hypothesis support coefficient matrix	Reader-facing primary supplementary tables	Primary result	1_read_first	Hypothesis-support matrix	Directly supports Figure 7 and the evidence-weighted H1/H2/H3 comparison.	Figure 7	Evidence-term scores and H1/H2/H3 prediction coefficients used for the Fig. 7 support-index calculation.	Project/results/hypothesis_support_score_matrix.tsv	Project/manuscript/Supplementary tables/Table_S102_hypothesis_support_score_matrix.tsv	2452
Table S103	Table_S103_hypothesis_support_scores.tsv	Hypothesis support scores	Reader-facing primary supplementary tables	Primary result	1_read_first	Hypothesis-support matrix	Directly supports Figure 7 and the evidence-weighted H1/H2/H3 comparison.	Figure 7	Final support-index scores and domain summaries for H1, H2, H3, and the integrated H2+H3 synthesis.	Project/results/hypothesis_support_scores.tsv	Project/manuscript/Supplementary tables/Table_S103_hypothesis_support_scores.tsv	1522
